,,,,,,,by cancer type,,,,,gene set,,,,,,,
HLA-A,CD8.c06(GZMK+ Tem),0.40 ,5.46E-34,1.37E-31,19,58.15%,16,0.89 ,18,0.70 ,6.13E-124,,,,,TRUE,,,
DUSP4,CD8.c06(GZMK+ Tem),0.39 ,2.50E-14,8.23E-13,20,52.05%,12,0.67 ,18,0.82 ,1.41E-168,,,,,,TRUE,,
HLA-DMA,CD8.c06(GZMK+ Tem),0.39 ,8.55E-32,1.71E-29,21,42.91%,12,0.67 ,18,0.67 ,2.31E-12,,,,,TRUE,,,
TMSB4X,CD8.c06(GZMK+ Tem),0.39 ,2.03E-29,3.22E-27,22,56.09%,15,0.83 ,18,0.69 ,2.33E-29,,,,,,,,
RARRES3,CD8.c06(GZMK+ Tem),0.36 ,9.24E-44,7.25E-41,23,60.30%,17,0.94 ,18,0.57 ,3.53E-07,,,,,TRUE,,,
TRAT1,CD8.c06(GZMK+ Tem),0.34 ,1.85E-14,6.21E-13,24,44.36%,10,0.56 ,18,0.93 ,4.21E-16,,,,,TRUE,,,
IL32,CD8.c06(GZMK+ Tem),0.34 ,1.96E-33,4.61E-31,25,56.53%,12,0.67 ,18,0.58 ,3.53E-36,,,,TRUE,,,,
CD27,CD8.c06(GZMK+ Tem),0.33 ,8.57E-23,8.20E-21,26,49.33%,14,0.78 ,18,0.68 ,9.55E-62,,,,,TRUE,,,
CCR5,CD8.c06(GZMK+ Tem),0.33 ,1.09E-43,8.01E-41,27,25.68%,14,0.78 ,18,0.65 ,5.20E-07,,,,,TRUE,,TRUE,
CORO1A,CD8.c06(GZMK+ Tem),0.33 ,1.01E-73,5.95E-70,28,57.84%,13,0.72 ,18,0.47 ,1.68E-54,,,,,,,,
EOMES,CD8.c06(GZMK+ Tem),0.33 ,2.22E-22,2.00E-20,29,33.17%,13,0.72 ,18,0.55 ,4.17E-08,TRUE,,,,,,,
ITM2A,CD8.c06(GZMK+ Tem),0.33 ,2.54E-25,2.96E-23,30,56.58%,13,0.72 ,18,0.64 ,8.52E-09,,,,,TRUE,,,
GYG1,CD8.c06(GZMK+ Tem),0.32 ,3.62E-31,6.66E-29,31,45.36%,14,0.78 ,18,0.66 ,1.11E-07,,,,,,TRUE,,TRUE
CCL4,CD8.c06(GZMK+ Tem),0.32 ,1.66E-24,1.79E-22,32,51.57%,9,0.50 ,18,0.50 ,2.66E-04,,,,TRUE,,,,
DUSP2,CD8.c06(GZMK+ Tem),0.32 ,7.27E-18,3.68E-16,33,55.65%,12,0.67 ,18,0.60 ,4.84E-90,,,,,,TRUE,,
HLA-DMB,CD8.c06(GZMK+ Tem),0.32 ,7.10E-25,7.89E-23,34,18.58%,14,0.78 ,18,0.85 ,2.96E-16,,,,,TRUE,,,
CLIC1,CD8.c06(GZMK+ Tem),0.31 ,3.49E-53,5.86E-50,35,58.42%,13,0.72 ,18,0.44 ,3.03E-05,,,,,,,,
CNN2,CD8.c06(GZMK+ Tem),0.31 ,3.43E-34,8.98E-32,36,55.33%,12,0.67 ,18,0.57 ,7.10E-48,,,,,,,,
PFN1,CD8.c06(GZMK+ Tem),0.30 ,1.10E-47,1.18E-44,37,52.55%,15,0.83 ,18,0.49 ,3.77E-59,,,,,,,,
PSMB9,CD8.c06(GZMK+ Tem),0.30 ,5.62E-32,1.16E-29,38,58.03%,13,0.72 ,18,0.56 ,1.73E-39,,,,,,TRUE,TRUE,
LCP1,CD8.c06(GZMK+ Tem),0.30 ,8.32E-33,1.85E-30,39,58.43%,12,0.67 ,18,0.51 ,8.09E-38,,,,,,,,
SUB1,CD8.c06(GZMK+ Tem),0.29 ,3.98E-39,1.68E-36,40,58.44%,13,0.72 ,18,0.46 ,4.55E-44,TRUE,,,,,,,
LYST,CD8.c06(GZMK+ Tem),0.29 ,2.72E-22,2.40E-20,41,44.01%,13,0.72 ,18,0.55 ,3.24E-06,,,,,,,,
CXCR3,CD8.c06(GZMK+ Tem),0.29 ,2.73E-36,8.68E-34,42,46.13%,11,0.61 ,18,0.51 ,5.56E-07,,,,,TRUE,,,
ITGB2,CD8.c06(GZMK+ Tem),0.29 ,6.17E-31,1.12E-28,43,55.23%,14,0.78 ,18,0.56 ,6.81E-05,,,,,TRUE,,,
APOBEC3H,CD8.c06(GZMK+ Tem),0.28 ,5.74E-29,8.66E-27,44,22.53%,13,0.72 ,18,0.57 ,5.15E-05,,,,,,,,
CLEC2B,CD8.c06(GZMK+ Tem),0.28 ,1.58E-36,5.30E-34,45,55.80%,11,0.61 ,18,0.51 ,1.49E-15,,,,,,,,
GLIPR2,CD8.c06(GZMK+ Tem),0.28 ,2.75E-29,4.26E-27,46,41.21%,13,0.72 ,18,0.51 ,3.96E-25,,,,,,,,
APOBEC3C,CD8.c06(GZMK+ Tem),0.28 ,5.43E-28,7.43E-26,47,41.83%,10,0.56 ,18,0.40 ,2.20E-40,,,,,,,,
ATP5E,CD8.c06(GZMK+ Tem),0.27 ,5.49E-37,1.90E-34,48,55.35%,13,0.72 ,18,0.46 ,3.11E-04,,,,,,,,
F2R,CD8.c06(GZMK+ Tem),0.27 ,1.07E-51,1.40E-48,49,33.23%,16,0.89 ,18,0.61 ,1.38E-06,,,,,TRUE,,TRUE,
RGS1,CD8.c06(GZMK+ Tem),0.27 ,1.15E-09,1.93E-08,50,50.75%,8,0.44 ,18,0.71 ,3.05E-54,,,,,,,,
IDH2,CD8.c06(GZMK+ Tem),0.27 ,7.13E-35,2.00E-32,51,46.79%,13,0.72 ,18,0.51 ,4.06E-07,,,,,,TRUE,TRUE,
CTSC,CD8.c06(GZMK+ Tem),0.27 ,3.14E-43,2.17E-40,52,55.37%,16,0.89 ,18,0.45 ,1.35E-25,,,,,,TRUE,,TRUE
FABP5,CD8.c06(GZMK+ Tem),0.27 ,3.32E-19,1.93E-17,53,41.70%,12,0.67 ,18,0.79 ,2.30E-11,,,,,,,,
ARHGDIB,CD8.c06(GZMK+ Tem),0.27 ,7.41E-31,1.32E-28,54,55.46%,12,0.67 ,18,0.40 ,6.84E-34,,,,,,,,
HNRNPLL,CD8.c06(GZMK+ Tem),0.27 ,1.95E-20,1.33E-18,55,39.19%,11,0.61 ,18,0.51 ,1.88E-04,,,,,,,,
HLA-DQA2,CD8.c06(GZMK+ Tem),0.27 ,2.33E-12,5.99E-11,56,14.53%,10,0.56 ,18,0.91 ,1.32E-50,,,,,TRUE,,,
ACTB,CD8.c06(GZMK+ Tem),0.26 ,3.85E-24,4.01E-22,57,47.97%,11,0.61 ,18,0.43 ,4.21E-04,,,TRUE,,,,,
CPNE7,CD8.c06(GZMK+ Tem),0.26 ,2.39E-19,1.41E-17,58,17.73%,13,0.72 ,18,0.51 ,1.05E-25,,,,,,,,
GIMAP4,CD8.c06(GZMK+ Tem),0.26 ,2.35E-33,5.42E-31,59,48.66%,11,0.61 ,18,0.43 ,3.46E-04,,,,,,,,
ANXA5,CD8.c06(GZMK+ Tem),0.26 ,1.97E-18,1.06E-16,60,53.14%,10,0.56 ,18,0.57 ,7.13E-41,,,,,,,,TRUE
PSME2,CD8.c06(GZMK+ Tem),0.26 ,5.22E-38,1.92E-35,61,55.88%,13,0.72 ,18,0.49 ,5.38E-04,,,,,,,,
CAP1,CD8.c06(GZMK+ Tem),0.25 ,1.06E-69,4.15E-66,62,56.52%,13,0.72 ,18,0.36 ,3.45E-02,,,,,,,,
PSME1,CD8.c06(GZMK+ Tem),0.25 ,1.74E-35,5.25E-33,63,55.40%,10,0.56 ,18,0.40 ,3.35E-20,,,,,,,,
CRTAM,CD8.c06(GZMK+ Tem),0.25 ,2.63E-16,1.10E-14,64,37.54%,12,0.67 ,18,0.87 ,4.76E-14,,,,,TRUE,,,
WIPF1,CD8.c06(GZMK+ Tem),0.25 ,3.42E-39,1.49E-36,65,53.76%,10,0.56 ,18,0.42 ,1.02E-04,,,,,,,,
AOAH,CD8.c06(GZMK+ Tem),0.25 ,1.35E-20,9.52E-19,66,41.19%,10,0.56 ,18,0.44 ,3.24E-04,,,,TRUE,,TRUE,,
CD2,CD8.c06(GZMK+ Tem),0.25 ,6.39E-30,1.06E-27,67,52.99%,10,0.56 ,18,0.39 ,7.24E-09,,,,,TRUE,,TRUE,
PTPRC,CD8.c06(GZMK+ Tem),0.24 ,1.07E-26,1.35E-24,68,52.51%,12,0.67 ,18,0.49 ,9.75E-05,,,,,TRUE,,,
MYL6,CD8.c06(GZMK+ Tem),0.24 ,1.25E-27,1.69E-25,69,52.50%,13,0.72 ,18,0.45 ,3.24E-04,,,,,,,,
NAA50,CD8.c06(GZMK+ Tem),0.24 ,6.09E-14,1.90E-12,70,43.25%,8,0.44 ,18,0.55 ,2.72E-08,,,,,,TRUE,,
CD44,CD8.c06(GZMK+ Tem),0.24 ,4.94E-19,2.81E-17,71,55.38%,8,0.44 ,18,0.41 ,5.83E-18,,,,TRUE,TRUE,,TRUE,
MYL12B,CD8.c06(GZMK+ Tem),0.24 ,1.31E-42,7.70E-40,72,55.41%,11,0.61 ,18,0.38 ,1.86E-08,,,,,,,,
DTHD1,CD8.c06(GZMK+ Tem),0.24 ,4.78E-18,2.47E-16,73,20.76%,13,0.72 ,18,0.47 ,2.72E-04,,,,,,,,
NFATC2,CD8.c06(GZMK+ Tem),0.24 ,8.88E-17,3.93E-15,74,47.80%,7,0.39 ,18,0.47 ,2.08E-54,TRUE,,,,,,,
UBE2L6,CD8.c06(GZMK+ Tem),0.24 ,6.85E-27,8.77E-25,75,47.93%,11,0.61 ,18,0.53 ,3.04E-34,,,,,,TRUE,,
HLA-C,CD8.c06(GZMK+ Tem),0.24 ,1.14E-11,2.64E-10,76,50.26%,9,0.50 ,18,0.49 ,9.07E-60,,,,,TRUE,,,
GGA2,CD8.c06(GZMK+ Tem),0.24 ,1.98E-23,1.97E-21,77,34.37%,9,0.50 ,18,0.42 ,3.91E-10,,,,,,,,
CXCR4,CD8.c06(GZMK+ Tem),0.23 ,1.60E-10,3.14E-09,78,54.52%,9,0.50 ,18,0.61 ,1.44E-40,,,,,TRUE,,TRUE,
CD38,CD8.c06(GZMK+ Tem),0.23 ,1.67E-12,4.35E-11,79,20.29%,9,0.50 ,18,0.57 ,3.69E-01,,,,,,TRUE,,
GBP5,CD8.c06(GZMK+ Tem),0.23 ,4.54E-22,3.90E-20,80,41.28%,7,0.39 ,18,0.38 ,1.56E-21,,,,,,,,
CASP4,CD8.c06(GZMK+ Tem),0.23 ,1.98E-21,1.55E-19,81,44.96%,12,0.67 ,18,0.49 ,3.79E-14,,,,,,TRUE,,
CCL4L2,CD8.c06(GZMK+ Tem),0.23 ,4.37E-13,1.25E-11,82,35.39%,10,0.56 ,18,0.54 ,8.41E-05,,,,TRUE,,,,
ENC1,CD8.c06(GZMK+ Tem),0.23 ,1.11E-06,1.03E-05,83,22.12%,9,0.50 ,18,0.79 ,9.99E-155,,,,,,,,
OASL,CD8.c06(GZMK+ Tem),0.23 ,8.27E-22,6.81E-20,84,41.43%,9,0.50 ,18,0.40 ,1.54E-05,,,,,,,,
CMC1,CD8.c06(GZMK+ Tem),0.23 ,1.86E-06,1.65E-05,85,40.02%,6,0.33 ,18,1.03 ,9.46E-24,,,,,,,,
CHI3L2,CD8.c06(GZMK+ Tem),0.23 ,8.82E-13,2.40E-11,86,9.50%,10,0.56 ,18,1.10 ,1.64E-27,,,,TRUE,,,,
SAMD3,CD8.c06(GZMK+ Tem),0.23 ,8.51E-20,5.22E-18,87,41.16%,10,0.56 ,18,0.45 ,1.34E-19,,,,,,,,
CFL1,CD8.c06(GZMK+ Tem),0.23 ,1.62E-31,3.08E-29,88,51.33%,10,0.56 ,18,0.35 ,5.08E-07,,,,,,,,
PYHIN1,CD8.c06(GZMK+ Tem),0.23 ,5.22E-36,1.62E-33,89,39.02%,13,0.72 ,18,0.43 ,4.23E-04,,,,,,,,
OAZ1,CD8.c06(GZMK+ Tem),0.23 ,9.34E-17,4.12E-15,90,54.44%,10,0.56 ,18,0.49 ,1.20E-34,,,,,,,,
REEP5,CD8.c06(GZMK+ Tem),0.22 ,1.39E-40,7.42E-38,91,52.57%,12,0.67 ,18,0.38 ,3.38E-03,,,,,TRUE,,,
RNF19A,CD8.c06(GZMK+ Tem),0.22 ,2.76E-09,4.36E-08,92,49.36%,7,0.39 ,18,0.43 ,1.03E-37,,,,,TRUE,TRUE,,
PTPRCAP,CD8.c06(GZMK+ Tem),0.22 ,2.56E-20,1.70E-18,93,47.00%,10,0.56 ,18,0.45 ,7.42E-03,,,,,,,,
FRMD4B,CD8.c06(GZMK+ Tem),0.22 ,1.49E-11,3.41E-10,94,16.38%,7,0.39 ,18,0.47 ,5.38E-21,,,,,,,,
IFI16,CD8.c06(GZMK+ Tem),0.22 ,9.37E-35,2.57E-32,95,52.15%,9,0.50 ,18,0.36 ,1.02E-02,TRUE,,TRUE,,,,,
CD8A,CD8.c06(GZMK+ Tem),0.22 ,5.08E-13,1.43E-11,96,54.56%,6,0.33 ,18,0.55 ,4.49E-08,,,,,TRUE,,,
PSMA7,CD8.c06(GZMK+ Tem),0.22 ,1.62E-29,2.66E-27,97,55.37%,8,0.44 ,18,0.36 ,9.85E-32,,,,,,TRUE,,
ADA,CD8.c06(GZMK+ Tem),0.22 ,3.36E-30,5.82E-28,98,20.99%,9,0.50 ,18,0.33 ,8.87E-14,,,,,,TRUE,TRUE,
TERF2IP,CD8.c06(GZMK+ Tem),0.22 ,1.96E-22,1.77E-20,99,53.32%,9,0.50 ,18,0.40 ,1.85E-39,,,,,,,,
ARAP2,CD8.c06(GZMK+ Tem),0.22 ,6.43E-35,1.85E-32,100,42.96%,12,0.67 ,18,0.41 ,7.76E-03,,,,,,,,
SRGN,CD8.c06(GZMK+ Tem),0.22 ,1.79E-10,3.50E-09,101,50.30%,7,0.39 ,18,0.59 ,1.32E-37,,,,,,,,
B2M,CD8.c06(GZMK+ Tem),0.22 ,1.28E-09,2.12E-08,102,46.62%,6,0.33 ,18,0.45 ,8.34E-12,,,,,,,,
LSP1,CD8.c06(GZMK+ Tem),0.22 ,4.06E-21,3.08E-19,103,53.73%,8,0.44 ,18,0.37 ,3.63E-08,,,,,,,,
ARPC3,CD8.c06(GZMK+ Tem),0.22 ,3.09E-47,2.80E-44,104,54.80%,10,0.56 ,18,0.39 ,1.15E-08,,,,,,,,
SH3BGRL3,CD8.c06(GZMK+ Tem),0.22 ,7.68E-32,1.56E-29,105,50.76%,7,0.39 ,18,0.38 ,2.05E-02,,,,,,,,
TNIP3,CD8.c06(GZMK+ Tem),0.21 ,1.60E-09,2.61E-08,106,24.87%,6,0.33 ,18,0.50 ,1.86E-52,,,,,,,,
CD8B,CD8.c06(GZMK+ Tem),0.21 ,8.46E-15,3.02E-13,107,53.93%,9,0.50 ,18,0.52 ,5.55E-16,,,,,TRUE,,,
YWHAB,CD8.c06(GZMK+ Tem),0.21 ,3.56E-22,3.13E-20,108,55.74%,8,0.44 ,18,0.40 ,7.04E-20,,,,,,,,
CAPZB,CD8.c06(GZMK+ Tem),0.21 ,1.86E-33,4.47E-31,109,54.62%,9,0.50 ,18,0.37 ,6.20E-03,,,,,,,,
OPTN,CD8.c06(GZMK+ Tem),0.21 ,2.74E-29,4.26E-27,110,47.61%,8,0.44 ,18,0.33 ,4.69E-28,,,,,,,,
LMNB1,CD8.c06(GZMK+ Tem),0.21 ,7.09E-12,1.69E-10,111,24.61%,7,0.39 ,18,0.45 ,1.21E-19,,,,,,,,
JAKMIP1,CD8.c06(GZMK+ Tem),0.21 ,4.06E-17,1.89E-15,112,21.71%,8,0.44 ,18,0.53 ,8.41E-05,,,,,TRUE,,,
PIK3R1,CD8.c06(GZMK+ Tem),0.21 ,4.78E-10,8.59E-09,113,49.83%,6,0.33 ,18,0.50 ,2.19E-52,,,,,,,,
HCST,CD8.c06(GZMK+ Tem),0.21 ,1.75E-21,1.39E-19,114,53.13%,9,0.50 ,18,0.44 ,2.07E-11,,,,,TRUE,,,
RNF213,CD8.c06(GZMK+ Tem),0.21 ,4.29E-21,3.24E-19,115,52.44%,9,0.50 ,18,0.34 ,1.74E-29,,,,,TRUE,TRUE,,TRUE
PPP1CA,CD8.c06(GZMK+ Tem),0.20 ,5.65E-41,3.17E-38,116,54.29%,8,0.44 ,18,0.35 ,1.10E-02,,,,,,TRUE,,
SELPLG,CD8.c06(GZMK+ Tem),0.20 ,1.39E-07,1.58E-06,117,50.00%,8,0.44 ,18,0.47 ,3.11E-54,,,,,TRUE,,,
TMEM2,CD8.c06(GZMK+ Tem),0.20 ,2.91E-13,8.43E-12,118,45.16%,7,0.39 ,18,0.44 ,2.67E-11,,,,,TRUE,TRUE,,
HLA-B,CD8.c06(GZMK+ Tem),0.20 ,1.81E-09,2.93E-08,119,48.74%,6,0.33 ,18,0.49 ,1.58E-59,,,,,TRUE,,,
PDLIM1,CD8.c06(GZMK+ Tem),0.20 ,2.43E-13,7.09E-12,120,8.93%,7,0.39 ,18,1.02 ,2.37E-19,,,,,,,,
KIAA1551,CD8.c06(GZMK+ Tem),0.20 ,3.77E-38,1.43E-35,121,51.15%,9,0.50 ,18,0.33 ,9.50E-15,,,,,,,,
ARHGAP25,CD8.c06(GZMK+ Tem),0.20 ,2.04E-15,7.91E-14,122,29.21%,7,0.39 ,18,0.40 ,1.27E-23,,,,,,,,
GIMAP7,CD8.c06(GZMK+ Tem),0.20 ,7.40E-18,3.72E-16,123,49.37%,13,0.72 ,18,0.39 ,1.42E-22,,,,,,,,
TBCD,CD8.c06(GZMK+ Tem),0.20 ,5.10E-20,3.23E-18,124,29.04%,9,0.50 ,18,0.42 ,6.60E-03,,,,,TRUE,,,
ABI3,CD8.c06(GZMK+ Tem),0.20 ,1.44E-12,3.80E-11,125,40.37%,7,0.39 ,18,0.48 ,2.22E-33,,,,,,,,
RAC2,CD8.c06(GZMK+ Tem),0.20 ,1.82E-21,1.44E-19,126,51.55%,9,0.50 ,18,0.53 ,1.28E-07,,,,,,,,
CENPF,CD8.c06(GZMK+ Tem),0.20 ,1.03E-12,2.76E-11,127,14.17%,8,0.44 ,18,0.55 ,8.41E-05,,,,,,,,
SH3KBP1,CD8.c06(GZMK+ Tem),0.20 ,9.82E-35,2.63E-32,128,50.63%,8,0.44 ,18,0.37 ,2.21E-02,,,,,,,,
EIF4EBP1,CD8.c06(GZMK+ Tem),0.20 ,2.72E-11,5.92E-10,129,20.77%,7,0.39 ,18,0.43 ,1.76E-01,,,,,,,,
C12orf75,CD8.c06(GZMK+ Tem),0.20 ,9.37E-14,2.84E-12,130,44.28%,9,0.50 ,18,0.41 ,6.71E-10,,,,,,,,
NCOR1,CD8.c06(GZMK+ Tem),0.20 ,3.17E-28,4.50E-26,131,53.17%,6,0.33 ,18,0.29 ,2.25E-17,TRUE,,TRUE,,,,,
CD5,CD8.c06(GZMK+ Tem),0.20 ,3.86E-14,1.24E-12,132,42.80%,7,0.39 ,18,0.44 ,5.88E-29,,,,,TRUE,,,
GALM,CD8.c06(GZMK+ Tem),0.20 ,1.28E-11,2.96E-10,133,32.30%,7,0.39 ,18,0.59 ,1.35E-05,,,,,,TRUE,,
UBC,CD8.c06(GZMK+ Tem),0.20 ,1.28E-17,6.38E-16,134,48.45%,6,0.33 ,18,0.45 ,7.56E-22,,,,,,,,
CMTM7,CD8.c06(GZMK+ Tem),0.19 ,3.84E-33,8.68E-31,135,34.71%,5,0.28 ,18,0.29 ,3.50E-12,,,,,TRUE,,,
STK17A,CD8.c06(GZMK+ Tem),0.19 ,4.71E-18,2.44E-16,136,50.07%,9,0.50 ,18,0.42 ,8.33E-04,,TRUE,,,TRUE,TRUE,,
LY6E,CD8.c06(GZMK+ Tem),0.19 ,1.92E-23,1.94E-21,137,52.05%,9,0.50 ,18,0.39 ,1.47E-02,,,,,TRUE,,,
SLAMF7,CD8.c06(GZMK+ Tem),0.19 ,1.13E-21,9.23E-20,138,24.61%,7,0.39 ,18,0.37 ,2.64E-02,,,,,TRUE,,TRUE,
TC2N,CD8.c06(GZMK+ Tem),0.19 ,2.04E-18,1.10E-16,139,42.49%,9,0.50 ,18,0.32 ,3.81E-15,,,,,,,,
FASLG,CD8.c06(GZMK+ Tem),0.19 ,7.38E-22,6.21E-20,140,29.84%,7,0.39 ,18,0.43 ,3.93E-03,,,,TRUE,TRUE,,,
GAPDH,CD8.c06(GZMK+ Tem),0.19 ,6.18E-17,2.77E-15,141,46.60%,9,0.50 ,18,0.36 ,4.35E-14,,,,,,TRUE,TRUE,
WNK1,CD8.c06(GZMK+ Tem),0.19 ,1.12E-20,7.96E-19,142,43.52%,7,0.39 ,18,0.31 ,1.54E-24,,TRUE,,,,TRUE,,TRUE
MYH9,CD8.c06(GZMK+ Tem),0.19 ,4.68E-18,2.44E-16,143,50.10%,7,0.39 ,18,0.34 ,5.37E-02,,,,,,,,
CXCR6,CD8.c06(GZMK+ Tem),0.19 ,1.91E-08,2.57E-07,144,37.17%,6,0.33 ,18,0.38 ,7.65E-04,,,,,TRUE,,,
PPP1R18,CD8.c06(GZMK+ Tem),0.19 ,2.41E-30,4.24E-28,145,47.49%,7,0.39 ,18,0.35 ,2.59E-01,,,,,,,,
ARPC2,CD8.c06(GZMK+ Tem),0.19 ,4.84E-30,8.14E-28,146,51.96%,9,0.50 ,18,0.36 ,2.14E-16,,,,,,,,
THEMIS,CD8.c06(GZMK+ Tem),0.19 ,3.11E-35,9.16E-33,147,40.34%,8,0.44 ,18,0.38 ,4.24E-03,,,,,,,,
FAM83D,CD8.c06(GZMK+ Tem),0.19 ,9.35E-15,3.32E-13,148,11.37%,9,0.50 ,18,0.49 ,2.59E-04,,,,,,,,
FAM102A,CD8.c06(GZMK+ Tem),0.19 ,5.45E-12,1.33E-10,149,32.09%,5,0.28 ,18,0.36 ,1.69E-12,,,,,,,,
FAM46C,CD8.c06(GZMK+ Tem),0.19 ,2.13E-07,2.32E-06,150,44.45%,6,0.33 ,18,0.50 ,2.19E-27,,,,,,,,
TAP1,CD8.c06(GZMK+ Tem),0.19 ,1.01E-28,1.49E-26,151,51.40%,6,0.33 ,18,0.33 ,2.28E-02,,,,,TRUE,,,TRUE
CCDC167,CD8.c06(GZMK+ Tem),0.18 ,1.14E-22,1.06E-20,152,23.19%,9,0.50 ,18,0.42 ,5.45E-03,,,,,TRUE,,,
ACTG1,CD8.c06(GZMK+ Tem),0.18 ,7.01E-21,5.13E-19,153,48.42%,6,0.33 ,18,0.35 ,1.17E-02,,,,,,,,
PSTPIP1,CD8.c06(GZMK+ Tem),0.18 ,1.57E-40,7.88E-38,154,38.20%,7,0.39 ,18,0.25 ,7.14E-01,,,,,,,,
PSMB10,CD8.c06(GZMK+ Tem),0.18 ,1.90E-20,1.30E-18,155,47.85%,6,0.33 ,18,0.35 ,5.33E-12,,,,,,TRUE,TRUE,
TUBA4A,CD8.c06(GZMK+ Tem),0.18 ,1.64E-07,1.84E-06,156,51.50%,8,0.44 ,18,0.50 ,5.91E-27,,,,,,,TRUE,
CDKN2A,CD8.c06(GZMK+ Tem),0.18 ,6.91E-18,3.52E-16,157,16.70%,7,0.39 ,18,0.40 ,3.35E-20,,,,,,,,
LCK,CD8.c06(GZMK+ Tem),0.18 ,1.29E-31,2.50E-29,158,53.45%,9,0.50 ,18,0.40 ,1.42E-03,,TRUE,,,,TRUE,TRUE,
IRF1,CD8.c06(GZMK+ Tem),0.18 ,9.07E-13,2.46E-11,159,51.05%,7,0.39 ,18,0.40 ,2.39E-23,TRUE,,,,,,,
PPP2R2B,CD8.c06(GZMK+ Tem),0.18 ,5.14E-26,6.18E-24,160,23.46%,8,0.44 ,18,0.42 ,5.58E-03,,,,,,,,
TNFSF10,CD8.c06(GZMK+ Tem),0.18 ,3.20E-12,8.10E-11,161,25.53%,7,0.39 ,18,0.41 ,1.50E-20,,,,TRUE,TRUE,,,
CD28,CD8.c06(GZMK+ Tem),0.18 ,4.59E-09,7.02E-08,162,25.09%,4,0.22 ,18,0.35 ,1.89E-03,,,,,TRUE,,,
LAG3,CD8.c06(GZMK+ Tem),0.18 ,1.37E-13,4.10E-12,163,46.36%,11,0.61 ,18,0.50 ,2.98E-04,,,,TRUE,TRUE,,,
CD99,CD8.c06(GZMK+ Tem),0.18 ,3.47E-18,1.83E-16,164,51.45%,8,0.44 ,18,0.34 ,9.00E-07,,,,,TRUE,,,
GYPC,CD8.c06(GZMK+ Tem),0.18 ,1.15E-11,2.67E-10,165,49.69%,7,0.39 ,18,0.34 ,2.00E-14,,,,,TRUE,,,
ANXA6,CD8.c06(GZMK+ Tem),0.18 ,5.18E-26,6.18E-24,166,50.62%,7,0.39 ,18,0.29 ,1.65E-01,,,,,,,,
HMGA1,CD8.c06(GZMK+ Tem),0.18 ,1.28E-21,1.03E-19,167,35.41%,8,0.44 ,18,0.35 ,1.51E-03,TRUE,,TRUE,,,,,
MYO5B,CD8.c06(GZMK+ Tem),0.18 ,1.42E-08,1.97E-07,168,3.56%,7,0.39 ,18,0.52 ,5.86E-05,,,,,,,,
GBP4,CD8.c06(GZMK+ Tem),0.17 ,3.02E-13,8.71E-12,169,25.35%,7,0.39 ,18,0.36 ,5.61E-19,,,,,,,,
ZYX,CD8.c06(GZMK+ Tem),0.17 ,2.93E-18,1.55E-16,170,46.83%,6,0.33 ,18,0.35 ,5.92E-07,,,,,,,,
SLA,CD8.c06(GZMK+ Tem),0.17 ,6.71E-09,9.88E-08,171,50.27%,5,0.28 ,18,0.41 ,7.32E-43,,TRUE,,,,,,
ISG20,CD8.c06(GZMK+ Tem),0.17 ,7.33E-14,2.27E-12,172,52.50%,10,0.56 ,18,0.40 ,1.60E-03,,,,,,TRUE,,
PYCARD,CD8.c06(GZMK+ Tem),0.17 ,2.25E-50,2.65E-47,173,28.96%,7,0.39 ,18,0.37 ,2.85E-01,,,,,,,,
LIME1,CD8.c06(GZMK+ Tem),0.17 ,1.55E-12,4.08E-11,174,37.53%,7,0.39 ,18,0.32 ,7.19E-10,,,,,,,,
PSMB3,CD8.c06(GZMK+ Tem),0.17 ,1.09E-46,9.17E-44,175,51.46%,6,0.33 ,18,0.38 ,1.73E-02,,,,,,TRUE,,
GMFG,CD8.c06(GZMK+ Tem),0.17 ,1.03E-16,4.51E-15,176,51.89%,6,0.33 ,18,0.33 ,4.95E-01,,,,,,,,
ATP5L,CD8.c06(GZMK+ Tem),0.17 ,1.79E-14,6.07E-13,177,51.37%,8,0.44 ,18,0.40 ,2.26E-04,,,,,,,,
PECAM1,CD8.c06(GZMK+ Tem),0.17 ,1.96E-13,5.76E-12,178,18.82%,8,0.44 ,18,0.46 ,8.71E-06,,,,,TRUE,,,
TESC,CD8.c06(GZMK+ Tem),0.17 ,4.35E-12,1.08E-10,179,20.01%,6,0.33 ,18,0.47 ,1.66E-05,,,,,,,,
BTN3A2,CD8.c06(GZMK+ Tem),0.17 ,3.30E-11,7.08E-10,180,43.78%,5,0.28 ,18,0.42 ,3.81E-22,,,,,TRUE,,,
ARHGAP18,CD8.c06(GZMK+ Tem),0.17 ,1.03E-22,9.74E-21,181,21.30%,6,0.33 ,18,0.30 ,1.49E-01,,,,,,,,
KLRG1,CD8.c06(GZMK+ Tem),0.17 ,1.02E-06,9.51E-06,182,29.62%,8,0.44 ,18,0.66 ,1.01E-07,,,,,TRUE,,,
PSMB8,CD8.c06(GZMK+ Tem),0.17 ,3.80E-25,4.30E-23,183,53.07%,5,0.28 ,18,0.25 ,7.87E-08,,,,,,TRUE,TRUE,
HIGD2A,CD8.c06(GZMK+ Tem),0.17 ,5.56E-19,3.13E-17,184,51.35%,6,0.33 ,18,0.32 ,5.63E-01,,,,,TRUE,,,
GABARAPL2,CD8.c06(GZMK+ Tem),0.17 ,9.68E-26,1.14E-23,185,50.13%,8,0.44 ,18,0.29 ,6.45E-05,,,,,,,,
